"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 16 22:33:57 MSK 2022","Sun Jan 16 22:33:58 MSK 2022","1121","test","test_modify_group","","","","test_modify_group_name",""
"passed","Sun Jan 16 22:33:22 MSK 2022","Sun Jan 16 22:33:23 MSK 2022","1249","test","test_add_groups","test_add_group[None","","","test_add_group[None:::]",""
"passed","Sun Jan 16 22:33:00 MSK 2022","Sun Jan 16 22:33:03 MSK 2022","3648","test","test_add_contact","","","","test_add_contact[None:lastnameO nu|:firstnameG:middlename2f)7_""j=]",""
"passed","Sun Jan 16 22:33:23 MSK 2022","Sun Jan 16 22:33:24 MSK 2022","907","test","test_add_groups","","","","test_add_group[None:nameNhS:headerV;( :footer]",""
"passed","Sun Jan 16 22:33:33 MSK 2022","Sun Jan 16 22:33:35 MSK 2022","1760","test","test_contact_in_group","","","","test_add_contact_to_group",""
"failed","Sun Jan 16 22:33:29 MSK 2022","Sun Jan 16 22:33:32 MSK 2022","3490","test","test_contact_from_home_page","","","","test_all_contacts_from_home_page_vs_db",""
"passed","Sun Jan 16 22:33:56 MSK 2022","Sun Jan 16 22:33:57 MSK 2022","1508","test","test_modify_group","","","","test_full_edit_group",""
"passed","Sun Jan 16 22:33:25 MSK 2022","Sun Jan 16 22:33:26 MSK 2022","901","test","test_add_groups","","","","test_add_group[None:name:headerNTJA{dt0ID&r}f:footerU|AK 4 L=Zg]",""
"passed","Sun Jan 16 22:34:00 MSK 2022","Sun Jan 16 22:34:01 MSK 2022","1090","test","test_modify_group","","","","test_modify_group_footer",""
"failed","Sun Jan 16 22:33:04 MSK 2022","Sun Jan 16 22:33:08 MSK 2022","3608","test","test_add_contact","","","","test_add_contact[None:lastnamew""m]':firstname|u,>CK:middlename]",""
"passed","Sun Jan 16 22:33:26 MSK 2022","Sun Jan 16 22:33:27 MSK 2022","1039","test","test_add_groups","","","","test_add_group[None:name4uY1 =:header ]%2DM~h Kc  e}R6:footer""U21>r / ]",""
"passed","Sun Jan 16 22:33:42 MSK 2022","Sun Jan 16 22:33:43 MSK 2022","1080","test","test_del_group","","","","test_delete_some_group",""
"passed","Sun Jan 16 22:33:13 MSK 2022","Sun Jan 16 22:33:17 MSK 2022","3654","test","test_add_contact","","","","test_add_contact[None:lastname/(VYE8:firstname:middlenameG;`k:Fp{w]",""
"broken","Sun Jan 16 22:33:43 MSK 2022","Sun Jan 16 22:33:46 MSK 2022","2857","test","test_modify_contact","","","","test_full_edit_contact",""
"passed","Sun Jan 16 22:32:56 MSK 2022","Sun Jan 16 22:32:59 MSK 2022","3013","test","test_add_contact","test_add_contact[None","","","test_add_contact[None:::]",""
"passed","Sun Jan 16 22:33:58 MSK 2022","Sun Jan 16 22:34:00 MSK 2022","1084","test","test_modify_group","","","","test_modify_group_header",""
"passed","Sun Jan 16 22:33:53 MSK 2022","Sun Jan 16 22:33:55 MSK 2022","2198","test","test_modify_contact","","","","test_modify_contact_bday",""
"passed","Sun Jan 16 22:33:09 MSK 2022","Sun Jan 16 22:33:12 MSK 2022","3639","test","test_add_contact","","","","test_add_contact[None:lastname|:firstnameJtm*5:middlename Y{-v}j  ]",""
"passed","Sun Jan 16 22:33:35 MSK 2022","Sun Jan 16 22:33:37 MSK 2022","1323","test","test_contact_in_group","","","","test_del_contact_from_group",""
"passed","Sun Jan 16 22:33:50 MSK 2022","Sun Jan 16 22:33:52 MSK 2022","1946","test","test_modify_contact","","","","test_modify_contact_lastname",""
"passed","Sun Jan 16 22:33:28 MSK 2022","Sun Jan 16 22:33:28 MSK 2022","948","test","test_add_groups","","","","test_add_group[None:name:MB:headerI>:footerC4 ]",""
"failed","Sun Jan 16 22:33:18 MSK 2022","Sun Jan 16 22:33:21 MSK 2022","3636","test","test_add_contact","","","","test_add_contact[None:lastnamelTFv=\2u%:firstname \ L )e:middlename8[]",""
"passed","Sun Jan 16 22:34:01 MSK 2022","Sun Jan 16 22:34:05 MSK 2022","4334","test","test_phones","","","","test_phones_on_home_page",""
"passed","Sun Jan 16 22:33:24 MSK 2022","Sun Jan 16 22:33:25 MSK 2022","945","test","test_add_groups","","","","test_add_group[None:name}JXZ5e:headerE1%U_y,:footer1)]",""
"broken","Sun Jan 16 22:34:05 MSK 2022","Sun Jan 16 22:34:07 MSK 2022","1451","test","test_phones","","","","test_phones_on_contact_view_page",""
"passed","Sun Jan 16 22:33:38 MSK 2022","Sun Jan 16 22:33:41 MSK 2022","2790","test","test_del_contact","","","","test_delete_some_contact",""
"passed","Sun Jan 16 22:33:37 MSK 2022","Sun Jan 16 22:33:38 MSK 2022","1247","test","test_db_matches_ui","","","","test_group_list",""
"passed","Sun Jan 16 22:33:46 MSK 2022","Sun Jan 16 22:33:49 MSK 2022","3036","test","test_modify_contact","","","","test_modify_contact_firstname",""
